data;20-49;50-59;60-69;70+;<60;>=60;20-49_vac;50-59_vac;60-69_vac;70+_vac;<60_vac;>=60_vac;cobertura_20-49;cobertura_50-59;cobertura_60-69;cobertura_70+;cobertura_<60;cobertura_>=60;rate_20-49;rate_50-59;rate_60-69;rate_70+;rate_<60;rate_>=60;ageAdj_20-49;ageAdj_50-59;ageAdj_60-69;ageAdj_70+;ageAdj_<60;ageAdj_>=60
12/03/2020;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004188469;0;0;0,000822492;0;0;0,00063517;0;0;0,000672177;0
13/03/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/03/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15/03/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/03/2020;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003311582;0;0;0;0;0;0,000605212
17/03/2020;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005976227;0;0;0,003311582;0;0;0,000610276;0;0;0,000605212
18/03/2020;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005976227;0,007427165;0,000822492;0,006623163;0;0;0,000610276;0,000598919;0,000672177;0,001210424
19/03/2020;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005976227;0,007427165;0,000822492;0,006623163;0;0;0,000610276;0,000598919;0,000672177;0,001210424
20/03/2020;1;0;1;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0,001023472;0;0,005976227;0,014854331;0,000822492;0,013246326;0,00068122;0;0,000610276;0,001197838;0,000672177;0,002420849
21/03/2020;1;1;2;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0,001023472;0,004188469;0,011952454;0,022281496;0,001644985;0,013246326;0,00068122;0,00063517;0,001220552;0,001796757;0,001344353;0,002420849
22/03/2020;1;1;2;4;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0,001023472;0,004188469;0,011952454;0,029708661;0,001644985;0,019869489;0,00068122;0,00063517;0,001220552;0,002395677;0,001344353;0,003631273
23/03/2020;2;1;3;5;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0,002046944;0,004188469;0,017928681;0,037135827;0,001644985;0,026492652;0,001362439;0,00063517;0,001830828;0,002994596;0,001344353;0,004841698
24/03/2020;2;1;3;6;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0,002046944;0,004188469;0,017928681;0,044562992;0,002467477;0,029804234;0,001362439;0,00063517;0,001830828;0,003593515;0,00201653;0,00544691
25/03/2020;2;1;4;7;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0,002046944;0,004188469;0,023904909;0,051990157;0,002467477;0,036427397;0,001362439;0,00063517;0,002441104;0,004192434;0,00201653;0,006657334
