data;faixa_etaria;deaths;deaths_ageAdj;vacina;deaths_pop;cobertura;cobertura_full;month;year
12/03/2020;BR;1;0,00063517;0;0,000658854;0;0;3;2020
13/03/2020;BR;0;0;0;0;0;0;3;2020
14/03/2020;BR;0;0;0;0;0;0;3;2020
15/03/2020;BR;0;0;0;0;0;0;3;2020
16/03/2020;BR;0;0;0;0;0;0;3;2020
17/03/2020;BR;1;0,000610276;0;0,000658854;0;0;3;2020
18/03/2020;BR;2;0,001209195;0;0,001317708;0;0;3;2020
19/03/2020;BR;2;0,001209195;0;0,001317708;0;0;3;2020
20/03/2020;BR;4;0,002489334;0;0,002635415;0;0;3;2020
21/03/2020;BR;7;0,004333698;0;0,004611977;0;0;3;2020
22/03/2020;BR;8;0,004932618;0;0,00527083;0;0;3;2020
23/03/2020;BR;11;0,006823032;0;0,007247392;0;0;3;2020
24/03/2020;BR;12;0,007421951;0;0,007906246;0;0;3;2020
25/03/2020;BR;14;0,008631146;0;0,009223953;0;0;3;2020
26/03/2020;BR;17;0,010464154;0;0,011200515;0;0;3;2020
27/03/2020;BR;21;0,012953488;0;0,01383593;0;0;3;2020
28/03/2020;BR;25;0,015396772;0;0,016471345;0;0;3;2020
29/03/2020;BR;30;0,018496381;0;0,019765614;0;0;3;2020
30/03/2020;BR;37;0,02283008;0;0,024377591;0;0;3;2020
31/03/2020;BR;43;0,026517252;0;0,028330714;0;0;3;2020
01/04/2020;BR;51;0,031449869;0;0,033601544;0;0;4;2020
02/04/2020;BR;60;0,037063706;0;0,039531229;0;0;4;2020
03/04/2020;BR;69;0,042595243;0;0,045460913;0;0;4;2020
04/04/2020;BR;79;0,04884425;0;0,052049451;0;0;4;2020
05/04/2020;BR;92;0,05690137;0;0,060614551;0;0;4;2020
06/04/2020;BR;101;0,062457801;0;0,066544235;0;0;4;2020
07/04/2020;BR;112;0,069234783;0;0,073791627;0;0;4;2020
08/04/2020;BR;122;0,075401489;0;0,080380165;0;0;4;2020
09/04/2020;BR;132;0,081650496;0;0,086968703;0;0;4;2020
10/04/2020;BR;144;0,089072447;0;0,094874949;0;0;4;2020
11/04/2020;BR;156;0,096530648;0;0,102781195;0;0;4;2020
12/04/2020;BR;167;0,103342324;0;0,110028586;0;0;4;2020
13/04/2020;BR;182;0,11260864;0;0,119911394;0;0;4;2020
14/04/2020;BR;196;0,121371874;0;0,129135347;0;0;4;2020
15/04/2020;BR;209;0,129394301;0;0,137700447;0;0;4;2020
16/04/2020;BR;223;0,138061698;0;0,1469244;0;0;4;2020
17/04/2020;BR;236;0,146118819;0;0,155489499;0;0;4;2020
18/04/2020;BR;249;0,154200833;0;0,164054599;0;0;4;2020
19/04/2020;BR;264;0,163538093;0;0,173937406;0;0;4;2020
20/04/2020;BR;282;0,174637416;0;0,185796775;0;0;4;2020
21/04/2020;BR;299;0,185158977;0;0,19699729;0;0;4;2020
22/04/2020;BR;319;0,19765699;0;0,210174366;0;0;4;2020
23/04/2020;BR;342;0,211844567;0;0,225328003;0;0;4;2020
24/04/2020;BR;370;0,22909706;0;0,24377591;0;0;4;2020
25/04/2020;BR;394;0,244038357;0;0,259588402;0;0;4;2020
26/04/2020;BR;419;0,259484916;0;0,276059747;0;0;4;2020
27/04/2020;BR;444;0,274846994;0;0,292531092;0;0;4;2020
28/04/2020;BR;475;0,294014795;0;0,31295556;0;0;4;2020
29/04/2020;BR;506;0,313077583;0;0,333380028;0;0;4;2020
30/04/2020;BR;535;0,331057345;0;0,352486789;0;0;4;2020
01/05/2020;BR;562;0,347688206;0;0,370275842;0;0;5;2020
02/05/2020;BR;594;0,367491176;0;0,391359164;0;0;5;2020
03/05/2020;BR;625;0,386634084;0;0,411783632;0;0;5;2020
04/05/2020;BR;659;0,4076923;0;0,434184662;0;0;5;2020
05/05/2020;BR;690;0,42674155;0;0,45460913;0;0;5;2020
06/05/2020;BR;717;0,443351254;0;0,472398183;0;0;5;2020
07/05/2020;BR;744;0,459957221;0;0,490187236;0;0;5;2020
08/05/2020;BR;771;0,476528494;0;0,507976288;0;0;5;2020
09/05/2020;BR;796;0,491831609;0;0,524447634;0;0;5;2020
10/05/2020;BR;817;0,504656746;0;0,538283564;0;0;5;2020
11/05/2020;BR;841;0,519395012;0;0,554096055;0;0;5;2020
12/05/2020;BR;865;0,534170151;0;0,569908547;0;0;5;2020
13/05/2020;BR;879;0,542789941;0;0,5791325;0;0;5;2020
14/05/2020;BR;895;0,552534445;0;0,589674161;0;0;5;2020
15/05/2020;BR;908;0,560500088;0;0,598239261;0;0;5;2020
16/05/2020;BR;924;0,570283023;0;0,608780922;0;0;5;2020
17/05/2020;BR;931;0,574356906;0;0,613392898;0;0;5;2020
18/05/2020;BR;942;0,581040231;0;0,62064029;0;0;5;2020
19/05/2020;BR;951;0,586348203;0;0,626569975;0;0;5;2020
20/05/2020;BR;951;0,586348203;0;0,626569975;0;0;5;2020
21/05/2020;BR;957;0,589987768;0;0,630523097;0;0;5;2020
22/05/2020;BR;970;0,597962589;0;0,639088197;0;0;5;2020
23/05/2020;BR;967;0,596049461;0;0,637111635;0;0;5;2020
24/05/2020;BR;965;0,594769322;0;0,635793928;0;0;5;2020
25/05/2020;BR;971;0,598454937;0;0,639747051;0;0;5;2020
26/05/2020;BR;966;0,595399821;0;0,636452782;0;0;5;2020
27/05/2020;BR;965;0,594705064;0;0,635793928;0;0;5;2020
28/05/2020;BR;963;0,593235431;0;0,63447622;0;0;5;2020
29/05/2020;BR;963;0,593201361;0;0,63447622;0;0;5;2020
30/05/2020;BR;963;0,593178024;0;0,63447622;0;0;5;2020
31/05/2020;BR;957;0,589489295;0;0,630523097;0;0;5;2020
01/06/2020;BR;956;0,588796719;0;0,629864244;0;0;6;2020
02/06/2020;BR;951;0,585718266;0;0,626569975;0;0;6;2020
03/06/2020;BR;946;0,582641369;0;0,623275705;0;0;6;2020
04/06/2020;BR;947;0,583228932;0;0,623934559;0;0;6;2020
05/06/2020;BR;941;0,579503329;0;0,619981436;0;0;6;2020
06/06/2020;BR;933;0,574498211;0;0,614710606;0;0;6;2020
07/06/2020;BR;928;0,571431114;0;0,611416337;0;0;6;2020
08/06/2020;BR;927;0,570878245;0;0,610757483;0;0;6;2020
09/06/2020;BR;917;0,56474779;0;0,604168945;0;0;6;2020
10/06/2020;BR;922;0,567719049;0;0,607463214;0;0;6;2020
11/06/2020;BR;917;0,564667669;0;0,604168945;0;0;6;2020
12/06/2020;BR;914;0,562848198;0;0,602192383;0;0;6;2020
13/06/2020;BR;910;0,560477415;0;0,599556968;0;0;6;2020
14/06/2020;BR;904;0,556846093;0;0,595603845;0;0;6;2020
15/06/2020;BR;904;0,556788686;0;0,595603845;0;0;6;2020
16/06/2020;BR;905;0,55757492;0;0,596262699;0;0;6;2020
17/06/2020;BR;907;0,558690458;0;0,597580407;0;0;6;2020
