data;20-29;30-39;40-49;50-59;60-69;70-79;80+;20-49;70+;BR
15/01/2021;1;7;1;4;1;4;2;9;6;20
16/01/2021;2;2;2;0;1;2;0;6;2;9
17/01/2021;87;110;103;91;39;20;60;300;80;510
18/01/2021;443;627;474;323;182;80;110;1544;190;2239
19/01/2021;10854;19153;14683;8189;3197;1926;2160;44690;4086;60162
20/01/2021;59948;102913;82154;47895;19833;12692;16366;245015;29058;341801
21/01/2021;70696;119280;95923;54273;20354;10348;12440;285899;22788;383314
22/01/2021;60819;102954;85043;47989;20082;10477;15822;248816;26299;343186
23/01/2021;15907;24701;20694;10595;5030;2990;3599;61302;6589;83516
24/01/2021;6731;9863;8164;4717;1952;877;1252;24758;2129;33556
25/01/2021;38813;64243;56211;34738;13117;5644;7272;159267;12916;220038
26/01/2021;44318;74647;66900;40144;15003;6032;7794;185865;13826;254838
27/01/2021;48989;81315;72184;43224;26103;12389;15357;202488;27746;299561
28/01/2021;56250;89210;77151;47077;24329;10944;27730;222611;38674;332691
29/01/2021;50335;79134;67341;41093;19912;9088;28396;196810;37484;295299
30/01/2021;12031;17908;15507;9466;4624;4147;11995;45446;16142;75678
31/01/2021;4721;7101;6188;3622;1640;4153;6766;18010;10919;34191
01/02/2021;35206;55348;48908;31265;13385;11990;40763;139462;52753;236865
02/02/2021;39558;59176;52553;34101;14740;12418;53961;151287;66379;266507
03/02/2021;43151;63558;56350;35000;15858;12187;56413;163059;68600;282517
04/02/2021;49908;68686;58939;36390;17190;11305;58088;177533;69393;300506
05/02/2021;42319;56432;47627;29987;13669;11357;76641;146378;87998;278032
06/02/2021;12513;17672;14634;8994;4927;5867;24182;44819;30049;88789
07/02/2021;3270;4351;3823;2261;1118;3019;9673;11444;12692;27515
08/02/2021;27304;36661;30163;19340;10041;18708;96223;94128;114931;238440
09/02/2021;25892;34700;28311;19092;18959;22566;97245;88903;119811;246765
10/02/2021;25451;33619;27594;18044;14921;17878;127238;86664;145116;264745
11/02/2021;22412;30524;24704;16723;11930;14417;175694;77640;190111;296404
12/02/2021;19210;25677;20655;14773;10812;13070;214872;65542;227942;319069
13/02/2021;4704;6314;5630;3654;2723;5522;67255;16648;72777;95802
14/02/2021;1116;1269;1223;923;716;3118;11960;3608;15078;20325
15/02/2021;8753;11922;10533;6858;6034;8183;118190;31208;126373;170473
16/02/2021;8004;10447;9130;5814;4931;6536;82631;27581;89167;127493
17/02/2021;9894;12479;10585;7382;6055;7127;78612;32958;85739;132134
18/02/2021;12682;16311;13695;9103;6254;8256;76414;42688;84670;142715
19/02/2021;10085;13338;11260;7340;5058;7532;60020;34683;67552;114633
20/02/2021;2710;2793;2311;1533;1311;1938;12010;7814;13948;24606
21/02/2021;942;1154;883;567;392;373;2346;2979;2719;6657
22/02/2021;7261;9497;7742;5122;4093;6061;39065;24500;45126;78841
23/02/2021;7809;10185;8247;5287;4118;6549;38601;26241;45150;80796
24/02/2021;6792;8507;6787;4482;3711;5764;32747;22086;38511;68790
25/02/2021;6632;8558;6932;4558;3528;7608;54488;22122;62096;92304
26/02/2021;8601;10709;8599;5551;4619;24100;118540;27909;142640;180719
27/02/2021;2942;3678;3450;2008;3819;13766;171652;10070;185418;201315
28/02/2021;1013;1403;1197;704;1059;10201;32556;3613;42757;48133
01/03/2021;7890;10752;8697;10690;12236;55717;271660;27339;327377;377642
02/03/2021;9907;12423;9875;8973;16935;64968;229608;32205;294576;352689
03/03/2021;10623;12260;10625;8116;18689;177573;207771;33508;385344;445657
04/03/2021;9868;12756;10566;7985;17345;115726;180667;33190;296393;354913
05/03/2021;9918;12598;9764;7889;23477;107312;164998;32280;272310;335956
06/03/2021;2818;3559;2466;2169;8009;81577;62779;8843;144356;163377
07/03/2021;974;1033;765;640;758;24417;8199;2772;32616;36786
08/03/2021;7920;9420;7713;5759;12031;133793;108435;25053;242228;285071
09/03/2021;7889;9430;7527;5270;9743;88454;106584;24846;195038;234897
10/03/2021;8222;9690;7503;5719;13503;118145;98051;25415;216196;260833
11/03/2021;8522;10308;7877;6055;15732;130476;88356;26707;218832;267326
12/03/2021;9859;11765;8997;7142;15545;176309;78149;30621;254458;307766
13/03/2021;2757;3551;2659;2057;8087;117238;23559;8967;140797;159908
14/03/2021;1199;1187;768;671;625;25785;3173;3154;28958;33408
15/03/2021;8908;8972;6826;5445;14884;307684;50397;24706;358081;403116
16/03/2021;9730;9572;7444;5282;12988;223032;51791;26746;274823;319839
17/03/2021;9874;9840;7125;5829;16508;182631;40533;26839;223164;272340
18/03/2021;10388;9662;7496;5428;14168;266770;35788;27546;302558;349700
19/03/2021;12328;13632;10708;6940;23747;542564;30879;36668;573443;640798
20/03/2021;4572;6412;5254;3690;32381;286182;11478;16238;297660;349969
21/03/2021;1263;1024;580;970;15977;52737;2849;2867;55586;75400
22/03/2021;11896;12733;10223;7614;48197;457126;23754;34852;480880;571543
23/03/2021;13918;15734;13510;9653;81348;560460;25660;43162;586120;720283
24/03/2021;14945;16089;13165;10791;139054;641296;22792;44199;664088;858132
25/03/2021;15239;17351;14439;11698;199441;615960;20281;47029;636241;894409
26/03/2021;17930;21320;17841;13838;261067;593824;14890;57091;608714;940710
27/03/2021;9162;11049;8836;6832;263250;402261;8624;29047;410885;710014
28/03/2021;2517;4032;3327;9366;114608;72920;1527;9876;74447;208297
29/03/2021;13810;16184;16833;16275;406760;399410;12283;46827;411693;881555
30/03/2021;19378;27111;21757;22329;546645;359265;13489;68246;372754;1009974
31/03/2021;21247;27330;21974;22872;537511;215273;11451;70551;226724;857658
01/04/2021;15903;15208;13249;16061;420285;111052;6453;44360;117505;598211
02/04/2021;2596;3381;2871;1884;199002;18965;1214;8848;20179;229913
03/04/2021;5003;7404;8407;12574;306117;36640;3020;20814;39660;379165
04/04/2021;1675;1984;1810;1428;54477;3935;509;5469;4444;65818
05/04/2021;15556;26997;31098;26957;491509;71426;6984;73651;78410;670527
06/04/2021;20033;31502;36003;28624;406175;60535;6810;87538;67345;589682
07/04/2021;19073;29756;33336;31569;359955;48078;5972;82165;54050;527739
08/04/2021;18489;29545;29092;25672;255149;37061;5136;77126;42197;400144
09/04/2021;15918;26032;25072;27266;286343;30932;4628;67022;35560;416191
10/04/2021;9950;12349;26264;50625;310543;18061;2668;48563;20729;430460
11/04/2021;2143;2599;3749;5864;54733;2771;536;8491;3307;72395
12/04/2021;10254;15025;38285;73049;365949;24364;3903;63564;28267;530829
13/04/2021;12320;18649;30791;50648;308131;23821;3774;61760;27595;448134
14/04/2021;11756;18521;23425;38461;301769;21685;3800;53702;25485;419417
15/04/2021;11758;16704;23708;27421;247696;19083;3193;52170;22276;349563
16/04/2021;13076;16612;19379;22070;238283;15245;2595;49067;17840;327260
17/04/2021;6002;7171;9117;16345;325159;10883;1840;22290;12723;376517
18/04/2021;1391;1732;1919;3530;91578;2570;421;5042;2991;103141
19/04/2021;10265;15547;21131;24827;415273;16943;2967;46943;19910;506953
20/04/2021;12458;17777;24059;31914;546741;19666;3402;54294;23068;656017
21/04/2021;6256;10828;14312;18833;458184;9015;1677;31396;10692;519105
22/04/2021;13486;18720;24835;27055;458956;30161;7326;57041;37487;580539
23/04/2021;12185;17091;21102;25270;456468;16457;4092;50378;20549;552665
24/04/2021;4269;8048;13983;29799;256324;7692;1294;26300;8986;321409
25/04/2021;1566;2304;3501;3805;43118;1130;302;7371;1432;55726
26/04/2021;13116;18144;21874;44599;347148;11605;2265;53134;13870;458751
27/04/2021;15545;17855;26489;41391;331430;11088;2495;59889;13583;446293
28/04/2021;14538;16769;25842;46132;347309;10651;2358;57149;13009;463599
29/04/2021;12116;16028;23600;35894;392549;9088;2202;51744;11290;491477
30/04/2021;16334;17873;29295;59772;276214;7633;1886;63502;9519;409007
01/05/2021;6342;11854;15403;38444;145746;3410;1060;33599;4470;222259
02/05/2021;2986;3476;4920;7486;77472;726;203;11382;929;97269
03/05/2021;18054;26164;33412;93832;311380;7131;1807;77630;8938;491780
04/05/2021;26122;35003;44099;116126;385962;7708;1944;105224;9652;616964
05/05/2021;44424;53584;60255;158803;450456;8103;2243;158263;10346;777868
06/05/2021;43082;57191;68462;206139;590023;7749;2004;168735;9753;974650
07/05/2021;44189;62156;78247;213534;339301;6431;1698;184592;8129;745556
08/05/2021;23677;31679;37844;134881;132434;2398;623;93200;3021;363536
09/05/2021;2717;4416;3542;5849;5650;143;67;10675;210;22384
10/05/2021;42479;50926;77989;202853;143228;5495;1489;171394;6984;524459
11/05/2021;37546;60498;94740;252606;118605;5312;1571;192784;6883;570878
12/05/2021;34827;56291;94400;380273;79988;4654;1371;185518;6025;651804
13/05/2021;32795;55518;111307;335826;67327;4282;1384;199620;5666;608439
14/05/2021;34785;57074;114990;422307;58817;3956;1250;206849;5206;693179
15/05/2021;23806;37788;68216;182464;26904;1737;571;129810;2308;341486
16/05/2021;24833;27759;30770;41256;4092;258;106;83362;364;129074
17/05/2021;35342;61959;107989;290768;44090;3721;1182;205290;4903;545051
18/05/2021;44348;88191;157492;322004;44420;4086;1308;290031;5394;661849
19/05/2021;49016;103283;166545;288233;38808;3654;1187;318844;4841;650726
20/05/2021;52424;100646;203937;277538;36846;3702;1139;357007;4841;676232
21/05/2021;57118;101110;213241;253527;32936;3158;1263;371469;4421;662353
22/05/2021;25524;51550;90622;104909;10528;1087;634;167696;1721;284854
23/05/2021;4929;11469;14155;13297;1997;226;77;30553;303;46150
24/05/2021;39221;89607;161016;196307;28183;2937;1454;289844;4391;518725
25/05/2021;61563;111553;192180;223539;29759;3431;1485;365296;4916;623510
26/05/2021;63007;106309;188020;216061;26346;3529;1678;357336;5207;604950
27/05/2021;88027;125915;207464;222888;26876;3374;1727;421406;5101;676271
28/05/2021;116911;136996;282078;231306;26488;3326;1527;535985;4853;798632
29/05/2021;69641;73708;121428;109192;10112;1152;612;264777;1764;385845
30/05/2021;7060;11771;19202;22944;2303;296;98;38033;394;63674
31/05/2021;74653;114983;207694;217084;21271;2543;1122;397330;3665;639350
